模型名称,输入 token,输出 token,最大并发,平均时延 (s),最大时延 (s),吞吐 (r/s),kv cache usage (%)
llama3.1-8b,3500,490 - 500,4,1.2111926078796387,1.2111926078796387,3.3025300633254004,93
llama3.1-8b,3500,490 - 500,4,1.2195136547088623,1.2195136547088623,3.2799960742997425,93
llama3.1-8b,3500,490 - 500,4,1.213874340057373,1.213874340057373,3.295234002401717,94
llama3.1-8b,3500,490 - 500,4,1.2128701210021973,1.2128701210021973,3.2979623545304184,94
llama3.1-8b,3500,490 - 500,4,1.2143418788909912,1.2143418788909912,3.2939652906091292,93
llama3.1-8b,3500,490 - 500,4,1.2151949405670166,1.2151949405670166,3.291652940995276,93
llama3.1-8b,3500,490 - 500,4,1.2156333923339844,1.2156333923339844,3.290465715424372,94
llama3.1-8b,3500,490 - 500,4,1.2355408668518066,1.2355408668518066,3.2374485598296023,94
llama3.1-8b,3500,490 - 500,4,1.223930835723877,1.223930835723877,3.2681585292638333,93
llama3.1-8b,3500,490 - 500,4,1.2232990264892578,1.2232990264892578,3.2698464671222602,93
llama3.1-8b,3500,490 - 500,4,1.210585355758667,1.210585355758667,3.3041866738039487,94
llama3.1-8b,3500,490 - 500,4,1.211571216583252,1.211571216583252,3.3014980425834044,94
llama3.1-8b,3500,490 - 500,4,1.2164759635925293,1.2164759635925293,3.288186630656551,93
llama3.1-8b,3500,490 - 500,4,1.2127015590667725,1.2127015590667725,3.298420761558332,94
llama3.1-8b,3500,490 - 500,4,1.214331865310669,1.214331865310669,3.293992453188782,93
llama3.1-8b,3500,490 - 500,4,1.209944248199463,1.209944248199463,3.3059374479051105,93
llama3.1-8b,3500,490 - 500,4,1.2125139236450195,1.2125139236450195,3.2989311891572606,94
llama3.1-8b,3500,490 - 500,4,1.2118124961853027,1.2118124961853027,3.300840693252222,93
llama3.1-8b,3500,490 - 500,4,1.2229208946228027,1.2229208946228027,3.2708575162858415,93
llama3.1-8b,3500,490 - 500,4,1.222980260848999,1.222980260848999,3.270698741468795,93
llama3.1-8b,3500,490 - 500,4,1.2446479797363281,1.2446479797363281,3.2137600872877954,93
llama3.1-8b,3500,490 - 500,4,1.214179515838623,1.214179515838623,3.2944057676983913,94
llama3.1-8b,3500,490 - 500,4,1.2227203845977783,1.2227203845977783,3.271393893801669,93
llama3.1-8b,3500,490 - 500,4,1.2628169059753418,1.2628169059753418,3.167521737373783,93
llama3.1-8b,3500,490 - 500,4,1.2133162021636963,1.2133162021636963,3.2967498438303506,94
llama3.1-8b,3500,490 - 500,4,1.2835431098937988,1.2835431098937988,3.116373707409767,93
llama3.1-8b,3500,490 - 500,4,1.212982416152954,1.212982416152954,3.2976570366833826,93
llama3.1-8b,3500,490 - 500,4,1.2218577861785889,1.2218577861785889,3.273703409060531,93
llama3.1-8b,3500,490 - 500,4,1.2331821918487549,1.2331821918487549,3.2436407421707116,93
llama3.1-8b,3500,490 - 500,4,1.215111255645752,1.215111255645752,3.2918796376997284,93
llama3.1-8b,3500,490 - 500,4,1.216196060180664,1.216196060180664,3.288943395693788,93
llama3.1-8b,3500,490 - 500,4,1.285855770111084,1.285855770111084,3.1107687914753015,93
llama3.1-8b,3500,490 - 500,4,1.2633495330810547,1.2633495330810547,3.1661863128605483,93
llama3.1-8b,3500,490 - 500,4,1.212104082107544,1.212104082107544,3.3000466371212998,94
llama3.1-8b,3500,490 - 500,4,1.2222237586975098,1.2222237586975098,3.2727231585341543,94
llama3.1-8b,3500,490 - 500,4,1.2551851272583008,1.2551851272583008,3.1867809083566776,94
llama3.1-8b,3500,490 - 500,4,1.221418857574463,1.221418857574463,3.2748798458403883,94
llama3.1-8b,3500,490 - 500,4,1.2160396575927734,1.2160396575927734,3.28936640760405,93
llama3.1-8b,3500,490 - 500,4,1.2235121726989746,1.2235121726989746,3.269276832102377,93
llama3.1-8b,3500,490 - 500,4,1.275538682937622,1.275538682937622,3.1359299827644764,93
llama3.1-8b,3500,490 - 500,4,1.2156667709350586,1.2156667709350586,3.290375369002894,93
llama3.1-8b,3500,490 - 500,4,1.231637954711914,1.231637954711914,3.2477076438713834,94
llama3.1-8b,3500,490 - 500,4,1.2110133171081543,1.2110133171081543,3.3030190035827363,93
llama3.1-8b,3500,490 - 500,4,1.2098503112792969,1.2098503112792969,3.3061941322066497,94
llama3.1-8b,3500,490 - 500,4,1.2189929485321045,1.2189929485321045,3.2813971605141345,93
llama3.1-8b,3500,490 - 500,4,1.324293613433838,1.324293613433838,3.020478207720241,93
llama3.1-8b,3500,490 - 500,4,1.252661943435669,1.252661943435669,3.1931999059772043,93
